key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
125,Substance Abusers: Role Of Personal And Professional Role Traits In Caregivers' Causal Attributions,HOLLEMAN MC;THORNBY JI;MERRILL JM,PSYCHOLOGICAL REPORTS,,,,,2000,,,"Substance abuse continues to be a major health problem compounded by caregivers' negative attitudes toward these patients. The authors examined attributions 55 primary care physicians and 315 senior medical students make toward substance abusers. Half of both groups expressed negative causal attributions, with women slightly less negative than men. Mental models showed that higher negative attributions by both physicians and students were related to their increased authoritarianism and depressed mood. Medical students choosing careers in primary care specialties, including psychiatry, expressed a less negative attributional style toward substance abusers than those students entering non-primary careers. Health professional educators may find that using attribution theory to redefine successful outcomes in management of substance abuse can result in better attitudes for caregivers. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,PERSONAL & PROFESSIONAL ROLE TRAITS; ATTRIBUTIONS TOWARDS SUBSTANCE ABUSERS; PRIMARY CARE PHYSICIANS & MEDICAL STUDENTS; ADULT; ATTITUDE OF HEALTH PERSONNEL; AUTHORITARIANISM; CAREGIVERS; CAUSALITY; FEMALE; HUMANS; MALE; PERSONALITY ASSESSMENT; PRIMARY HEALTH CARE; ROLE; STUDENTS; MEDICAL; SUBSTANCE-RELATED DISORDERS; ATTRIBUTION; DRUG ABUSE; HEALTH PERSONNEL ATTITUDES; AUTHORITARIANISM; DEPRESSION (EMOTION); MEDICAL STUDENTS; PHYSICIANS; PROFESSIONAL SPECIALIZATION; ROLES; PROFESSIONAL ROLE
126,"Learned Helplessness, Depression, And The Attribution Of Failure",KLEIN DC;FENCIL-MORSE E;SELIGMAN ME,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,1976,,,"40 depressed and 40 nondepressed (beck depression inventory) college students received solvable, unsolvable, or no discrimination problems. When later tested on a series of patterned anagrams, depressed groups performed worse than nondepressed groups, and unsolvable groups performed worse than solvable and control groups. As predicted by the learned helplessness model of depression, nondepressed ss given unsolvable problems showed anagram deficits parallel to those found in naturally occurring depression. When depressed ss attributed their failure to the difficulty of the problems rather than to their own incompetence, performance improved stikingly. It is suggested that failure in itself is not sufficient to produce helplessness deficits in man, but failure that leads to a decreased belief in personal competence is sufficient. (26 ref) (psycinfo database record (c) 2016 apa, all rights reserved)",,,PRIOR FAILURE VS SUCCESS ON DISCRIMINATION PROBLEMS & ATTRIBUTION OF OUTCOME & DEPRESSION; SUBSEQUENT ANAGRAM SOLVING DEFICITS; DEPRESSED VS NONDEPRESSED COLLEGE STUDENTS; IMPLICATIONS FOR LEARNED HELPLESSNESS MODEL OF DEPRESSION; ACHIEVEMENT; ATTITUDE; DEPRESSION; FEMALE; HUMANS; INTERNAL-EXTERNAL CONTROL; MALE; MODELS; PSYCHOLOGICAL; PROBLEM SOLVING; SELF CONCEPT; ATTRIBUTION; DEPRESSION (EMOTION); FAILURE; SELF-CONCEPT; INTERPERSONAL CONTROL
127,Negative Social Reactions To Victims: An Overview Of Responses And Their Determinants,HERBERT TB;DUNKEL-SCHETTER C;MONTADA L;FILIPP SH;LERNER MJ,LIFE CRISES AND EXPERIENCES OF LOSS IN ADULTHOOD.,,,,,1992,,,"Give a rich overview of negative social reactions to victims and the circumstances under which they are likely to be observed / compiled evidence from various research traditions including research on victims (e.g., rape victims, cancer patients, bereaved persons), research on social reactions toward depressed people, the interdisciplinary social support literature, and the social psychology of helping behavior after having distinguished negative reactions and ineffective attempts to support, . . . [The authors] propose six categories of negative social reactions: rude or insensitive remarks, negative effective reactions, negative evaluations, victim blame and derogation, physical avoidance and rejection, and discrimination / illustrative examples for all six categories are provided from several lines of research / special attention is given to inconsistencies in social reactions by referring to mixed positive and negative reactions, to alterations between support and absence of support and to a combination of effective and ineffective attempts to support / such inconsistencies are likely to be observed in family members or intimates, and might be highly irritating to people in distress turning to the determinant of negative social reaction, factors of the victim as well as the social network members are outlined / two kinds of victim factors are identified by empirical research: victim's level of distress or depression and victim's poor coping behavior / as factor of social network members the need for control and the need to preserve a belief in a just world were identified as disposing to negative reactions toward victims which, in turn, may be mediated by particular causal attributions for the event / feelings of helplessness and frustration vis à vis victims were also suggested as possible dispositions to avoid contact (psycinfo database record (c) 2022 apa, all rights reserved)",,,NA
128,Neuroessentialism: Theoretical And Clinical Considerations,SCHULTZ W,JOURNAL OF HUMANISTIC PSYCHOLOGY,,,,,2018,,,"Neuroessentialism is the view that the definitive way of explaining human psychological experience is by reference to the brain and its activity. This leads to the view that psychological disorders, such as depression, are fundamentally brain disorders. Neuroessentialism has grown increasingly popular for academic and public audiences. It has also attracted critics. This article describes neuroessentialism, the reasons for its rising prominence, and the theoretical and clinical concerns it raises. It connects these concerns to evidence from empirical studies that suggest that neuroessentialistic conceptualization of depression can have negative clinical impacts that need to be considered by mental health professionals.",,,NEUROESSENTIALISM; ESSENTIALISM; NEUROSCIENCE; REDUCTIONISM; DEPRESSION;; CHEMICAL IMBALANCE
129,Antibiomania: Think Of The Manic Syndrome Secondary To Antibiotic Therapy,LEGENDRE T;BOUDEBESSE C;HENRY C;ETAIN B,ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,,,,,2017,,,"Introduction. - antibiomania is characterized by the emergence of a manic episode in reaction to antibiotics. Although relatively uncommon, this kind of side effect is observed in a growing number of cases and mostly occurs in patients who do not have a history of bipolar disorder. Several dozen cases have been reported showing the onset of manic symptoms after taking antibiotics. The antibiotic most frequently involved is clarithromycin. Clinical case. - we report the case of a 61 -year-old patient who presented a manic episode after taking an antibiotic combination to treat helicobacter pylori. Five days after the start of highly active antiretroviral therapy (haart), behavioral problems appeared (aggressiveness, irritability, talkativeness, insomnia). At the time of hospitalization, she had an acute delusional symptomatology, with a theme of persecution, associated with intuitive, interpretive and imaginative mechanisms. Manic symptoms were obvious: psychomotor excitement, aggressiveness and irritability, flight of ideas, verbal disinhibition and a denial of problems. There was no toxic cause. Brain magnetic resonance imaging (mri) was normal. Her condition improved very quickly and delusions disappeared in four days. Mrs. H. Could critic her delirium and recovered a euthymic state. During hospitalization, treatment divalproate sodium was introduced (250 mg, 3 times a day), was maintained following hospital discharge for 2 years for prevention, and then decreased to the stop. There are currently no further behavioral problems or sleep disorders two years after this episode. Discussion. - facing this clinical case, several questions arise: which drug therapy is the most suitable for this type of mental disorder? Are there predictors of antibiomania? Is there a risk of recurrence of mood episodes following an antibiomania that occurs spontaneously? What are the pathophysiological mechanisms that could explain this reaction? In all cases identified, stopping the antibiotics was decisive. However, the introduction of a psychotropic and the duration of this treatment remain unclear. First, longitudinal follow-up would assess this variable. Second, it is unclear whether the presence of personal psychiatric history is a predictor of antibiomania. Finally, there are several hypotheses to explain antibiomania: the competitive effect of gabaergic inhibitory receptors, seizure-like phenomena that mimic psychiatric symptoms, and disruption of the intestinal microbiota by antibiotics leading to a modification of the functioning of the central nervous system. The explanatory model of antibiomania is not yet known and requires further research. (C) 2016 l'encephale, paris.",,,MANIC EPISODE; ANTIBIOTICS; HELICOBACTER PYLORI
130,The Relationship Of Attribution Of Responsibility To Acute Stress Disorder Among Hospitalized Burn Patients,LAMBERT JF;DIFEDE JA;CONTRADA RJ,JOURNAL OF NERVOUS AND MENTAL DISEASE,,,,,2004,,,"Attribution of responsibility for a traumatic event has been related to subsequent adjustment. Self-blame has been associated with better adjustment in some cases and worse in others, whereas other-blame has consistently been associated with poorer outcomes. This study assessed the relationship between attribution of responsibility and acute stress disorder (asd) in burn victims. Hospitalized burn patients (n = 124) underwent psychological assessment within 2 weeks of their burn injury. Participants were categorized as reporting self-blame (n = 49), other-blame (n = 36), both (n = 10), or neither (tv = 29). Twenty-three percent of those with other-blame were diagnosed with asd, compared with 0% of those with self-blame. Self-blame and other-blame also were related to asd in logistic regression analyses controlling for demographic and medical variables. With both types of blame in the same model, self-blame was significantly associated with lower rates of asd, whereas other-blame was related to higher rates, but this did not reach significance. When analyzed in separate models, both of these relationships attained statistical significance. These findings have implications for identifying and treating people at risk for posttraumatic stress disorder after exposure to trauma. (Psycinfo database record (c) 2022 apa, all rights reserved)",,,ATTRIBUTION OF RESPONSIBILITY; SELF-BLAME; OTHER-BLAME; ACUTE STRESS DISORDER; BURN VICTIMS; ADOLESCENT; ADULT; AGED; AGED; 80 AND OVER; ATTITUDE TO HEALTH; BURNS; FEMALE; HOSPITALIZATION; HUMANS; LOGISTIC MODELS; MALE; MIDDLE AGED; STRESS DISORDERS; TRAUMATIC; ACUTE; ATTRIBUTION; BLAME; BURNS; RESPONSIBILITY; STRESS; ACUTE STRESS DISORDER; SEVERITY (DISORDERS); SELF-BLAME
131,Una Nueva Aproximación Cognitiva Al Tratamiento Y Prevención De La Depresión En El Ámbito Universitario = A New Cognitive Approach To The Treatment And Prevention Of Depression In University Settings,VILLASCLARAS GARCÍA C;MALDONADO A,BEHAVIORAL PSYCHOLOGY,,,,,2022,,,"This research aims to assess the effectiveness in both the short and long term of a brief and group cognitive-behavioral therapy (cbt) in a university setting, and evaluate if there are changes in the cognitive styles of the participants. Three groups of university students were made: a tcc group (cognitive behavioral treatment of students with depressive symptoms), a control group (non-treated controls students with depressive symptoms) and a healthy group (non-treated students without depressive symptoms). The results showed a significant improvement in depressive symptoms in both the short and long term, and changes in the cognitive style of the treated group, especially in the long term rather than the short. However, the results of the healthy group suggest that the improvement of the cbt group is not enough to make the subjects show complete well-being. Therefore, the efficacy of cbt for depression seems confirmed once again, as well as the predictions of the cognitive models fo)",,,DEPRESSION; COGNITIVE-BEHAVIORAL TREATMENT; ATTRIBUTIONAL STYLE; NEGATIVE COGNITIVE TRIAD; RELAPSE PREVENTION; ATTRIBUTION; COGNITIVE BEHAVIOR THERAPY; COLLEGE STUDENTS; MAJOR DEPRESSION; RELAPSE PREVENTION; BEHAVIOR THERAPY; LONG TERM CARE; SYMPTOMS
132,A Nem Öngyilkossági Szándékkal Történo Önsérto Viselkedés Magyarázó Modelljei = Explanatory Models Of Nonsuicidal Self-Injury,MELINDA R,MAGYAR PSZICHOLÓGIAI SZEMLE,,,,,2022,,,"Nonsuicidal self-injury (nssi) is an umbrella term which comprises several kinds of behaviors (e.g., cutting, hitting, biting, scratching, burning). Over the last decade, lifetime prevalence of nssi acts has showed a dynamic increase among young people. Furthermore, nssi could associated not only with mental disorders, but might appear in nonclinical samples. This urges the detailed and complex exploration of the etiology, functions, processes and removal of nssi. Multidimensional nature of the etiology of nssi makes difficult to develop a comprehensive model. The existing explanatory models are diverse, integrative approach much less likely could be discovered. Our study gives an overview of the spectrum of the models of nssi. We summarize the biological, the psychological, the interpersonal, and the psychodynamic models, as well as the developmental pathways of nssi. Finally, the cultural and the system perspectives are also incorporated into the explanations of nssi. Empirical resu)",,,NONSUICIDAL SELF-INJURY; EXPLANATORY MODELS; BIO-PSYCHOSOCIAL ASPECTS; ETIOLOGY; MODELS; PSYCHODYNAMICS; NONSUICIDAL SELF-INJURY; LIFE SPAN; SCRATCHING
133,Do Patients Think Cannabis Causes Schizophrenia? - A Qualitative Study On The Causal Beliefs Of Cannabis Using Patients With Schizophrenia,BUADZE A;STOHLER R;SCHULZE B;SCHAUB M;LIEBRENZ M,HARM REDUCTION JOURNAL,,,,,2010,,,"Background: there has been a considerable amount of debate among the research community whether cannabis use may cause schizophrenia and whether cannabis use of patients with schizophrenia is associated with earlier and more frequent relapses. Considering that studies exploring patients' view on controversial topics have contributed to our understanding of important clinical issues, it is surprising how little these views have been explored to add to our understanding of the link between cannabis and psychosis. The present study was designed to elucidate whether patients with schizophrenia who use cannabis believe that its use has caused their schizophrenia and to explore these patients other beliefs and perceptions about the effects of the drug. Methods: we recruited ten consecutive patients fulfilling criteria for paranoid schizophrenia and for a harmful use of/dependence from cannabis (icd-10 f20.0 + f12.1 or f12.2) from the in- and outpatient clinic of the psychiatric university hospital zurich. They were interviewed using qualitative methodology. Furthermore, information on amount, frequency, and effects of use was obtained. A grounded theory approach to data analysis was taken to evaluate findings. Results: none of the patients described a causal link between the use of cannabis and their schizophrenia. Disease models included upbringing under difficult circumstances (5) or use of substances other than cannabis (e. G. Hallucinogens, 3). Two patients gave other reasons. Four patients considered cannabis a therapeutic aid and reported that positive effects (reduction of anxiety and tension) prevailed over its possible disadvantages (exacerbation of positive symptoms). Conclusions: patients with schizophrenia did not establish a causal link between schizophrenia and the use of cannabis. We suggest that clinicians consider our findings in their work with patients suffering from these co-occurring disorders. Withholding treatment or excluding patients from certain treatment settings like day-care facilities or in patient care because of their use of cannabis, may cause additional harm to this already heavily burdened patient group.",,,NA
134,Does Early Maternal Responsiveness Buffer Prenatal Tobacco Exposure Effects On Young Children's Behavioral Disinhibition?,CLARK CAC;MASSEY SH;WIEBE SA;ESPY KA;WAKSCHLAG LS,DEVELOPMENT AND PSYCHOPATHOLOGY,,,,,2019,,,"Children with prenatal tobacco exposure (pte) exhibit early self-regulatory impairments, reflecting a life-course persistent propensity toward behavioral disinhibition. Previously, we demonstrated the protective role of parental responsiveness for reducing the risk of exposure-related disruptive behavior in adolescence. Here, we expanded this line of inquiry, examining whether responsiveness moderates the relation of pte to a broader set of behavioral disinhibition features in early childhood and testing alternative diathesis-stress versus differential susceptibility explanatory models. Pte was assessed prospectively using interviews and bioassays in the midwestern infant development study (mids). Mother-child dyads (n = 276) were re-assessed at approximately 5 years of age in a preschool follow-up. We quantified maternal responsiveness and child behavioral disinhibition using a combination of directly observed activities in the lab and developmentally sensitive questionnaires. Results supported a diathesis-stress pattern. Children with pte and less responsive mothers showed increased disruptive behavior and lower effortful control compared with children without pte. In contrast, exposed children with more responsive mothers had self-regulatory profiles similar to their non-exposed peers. We did not observe sex differences. Findings provide greater specification of the protective role of maternal responsiveness for self-regulation in children with pte and help clarify mechanisms that may underscore trajectories of exposure-related behavioral disinhibition.",,,MATERNAL BEHAVIOR*; MOTHER-CHILD RELATIONS*; PRENATAL EXPOSURE DELAYED EFFECTS*; PROBLEM BEHAVIOR*; TOBACCO SMOKING*; CHILD DEVELOPMENT; CHILD; PRESCHOOL; FEMALE; HUMANS; INFANT; INHIBITION; PSYCHOLOGICAL; MALE; MOTHERS; PREGNANCY; DISRUPTIVE BEHAVIOR; EXECUTIVE FUNCTION; PARENTING; PRENATAL TOBACCO EXPOSURE; SELF-REGULATION
135,Capgras And Fregoli Syndromes: Delusion And Misidentification,VENTRIGLIO A;BHUGRA D;DE BERARDIS D;TORALES J;CASTALDELLI-MAIA JM;FIORILLO A,INTERNATIONAL REVIEW OF PSYCHIATRY,,,,,2020,,,"Capgras and fregoli syndromes are two psychotic and complex conditions also known as delusional misidentification syndromes (dmss). Their description dates back to the beginning of xx century, and many explanatory models have been formulated through myths, psychoanalytical and psychological hypotheses, as well as neurobiological proposals. Even if dmss are not fully considered in the modern diagnostic manuals, they still remain intriguing phenomena to be clinically observed and explained. Also, the employment of psychotropics and physical techniques in the treatment of such conditions is not supported by robust evidences and this may encourage further studies. We conclude that it would be of great interest to brush up the neglected mdss in order to improve our knowledge on the underlying mechanisms of delusion and brain functioning. (Psycinfo database record (c) 2021 apa, all rights reserved)",,,CAPGRAS SYNDROME; FREGOLI SYNDROME; MISIDENTIFICATION SYNDROMES; DELUSIONAL DISORDER; DELUSIONS; NEUROBIOLOGY; PSYCHODIAGNOSIS; PSYCHOSIS; SEVERITY (DISORDERS); EMPLOYMENT STATUS; MYTHS; SYNDROMES; TREATMENT
136,Attributive Training In Junior School Students With High-Level Anxiety,ZOU M;HAN RS,CHINESE MENTAL HEALTH JOURNAL,,,,,2008,,,"Objective: to explore the effect of attributive training on middle school students with high level of anxiety. Methods: based on the extensive survey of middle school students about the attributive trends and the anxiety levels, this study selected some students with high level of anxiety and inappropriate attribution as subjects and divided them into two groups at random. There were 35 subjects for each group (experimental group and control group). Results: (1) compared with control group, the experimental group had lower scores in mood (2.5 ± 0.4/2.7 ± 0.4, t = -2.75, p = 0.007), ability (2.4 ± 0.4/2.7 ± 0.5, t = -3.05, p = 0.002) and lasting efforts (2.2 ± 0.4/2.4 ± 0.4, t = -2.40, p = 0.017), and higher scores in temporary efforts (2.7 ± 0.5/2.3 ± 0.6, t = 3.48, p = 0.000) and task difficulty (2.7 ± 0.4/2.5 ± 0.3, t = 2.44, p = 0.020) under successful attribution circumstance; the experimental group had lower scores in lasting efforts (3.1 ± 0.7/3.6 ± 0.9, t = -2.93, p = 0.005) under failed attribution circumstance. (2) compared with control group, the experimental group had lower stores in efforts tendency under successful (1.3 ± 0.6/1.9 ± 0.8, t = -3.75, p = 0.000) and failed attribution circumstances (1.5 ± 0.7/2.0 ± 1.0, t = -2.49, p = 0.028). (3) compared with control group, the experimental group had lower scores in pride (2.6 ± 0.9/3.1 ± 1.2, t = -2.04, p = 0.037) under successful attribution circumstance and lower scores in guilt (2.3 ± 0.7/2.8 ± 1.2, t = -2.38, p = 0.026) and higher scores in depression (3.1 ± 1.1/2.5 ± 0.9, t = 2.49, p = 0.018) under failed attribution circumstance. (4) through the attributive train, the anxiety level of experimental group was higher than that of control group (2.1 ± 0.2/1.8 ± 0.2, t = 6.20, p = 0.006). Conclusion: the attributive train switched improper attribution of experimental group to proper attribution and lowered the high level of anxiety to a certain degree. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,ATTRIBUTIVE TRAINING; JUNIOR SCHOOL STUDENTS; HIGH-LEVEL ANXIETY; ANXIETY; ATTRIBUTION; JUNIOR HIGH SCHOOL STUDENTS; STUDENT ATTITUDES
137,The Effect Of Diagnostic Labelling On The Lay Theory Regarding Schizophrenic Disorders,ANGERMEYER MC;MATSCHINGER H,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY: THE INTERNATIONAL JOURNAL FOR RESEARCH IN SOCIAL AND GENETIC EPIDEMIOLOGY AND MENTAL HEALTH SERVICES,,,,,1996,,,"Tested hypotheses about the diagnostic labelling (dl) effect on lay beliefs regarding schizophrenic disorders. From a representative survey conducted among 1,022 german citizens (at least 18 yrs old and living in private households), results show that labelling a disorder discussed in a clinical vignette as schizophrenia increased the probability that biological factors were considered etiologically relevant while psychosocial stress was noted less frequently as a cause. Therefore, dl may cause lay-etiological beliefs to theories held by psychiatric experts. The afflicted persons and their parents were also less frequently held responsible for the onset of the disorder. However, it is argued that caution should be taken in the diagnosis of schizophrenia as this was assessed less favorably with dl. Thus, these results do not represent a definite argument either for or against the explicit diagnosing of schizophrenia. (Psycinfo database record (c) 2019 apa, all rights reserved)",,,DIAGNOSTIC LABELLING; LAY BELIEFS REGARDING ETIOLOGY OF SCHIZOPHRENIC DISORDERS; ADULTS; GERMANY; ADOLESCENT; ADULT; AGED; FEMALE; HUMANS; MALE; RANDOM ALLOCATION; SCHIZOPHRENIA; SCHIZOPHRENIC PSYCHOLOGY; SEX FACTORS; ETIOLOGY; LABELING; PUBLIC OPINION; SCHIZOPHRENIA
138,A Qualitative Analysis Of Explanatory Models In Medically Unexplained Physical Symptoms Presenting To A Tertiary Health Care Psychiatric Facility In South India,MENON V;SHANMUGANATHAN B;ARUN AB;THAMIZH JS;SELVAKUMAR S,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,,,,,2016,,,"Background: knowledge about subjective perceptions and explanatory models has the potential to inform clinical evaluation and lead to development of patient-friendly treatment models in medically unexplained physical symptoms (mups). Aim: to collect qualitative data about explanatory models in mups. Methods: a cross-sectional observational study was done among patients with mups presenting over a 2-year period to a specialty psychosomatic clinic. The short explanatory model of illness interview was used to gather qualitative data about explanatory models which were subsequently recoded using standard manuals. Results: a total of 123 subjects were evaluated. The nature of symptoms was most commonly reported as non-specific' (n=102, 82.9\%) but of moderate to severe intensity (n=87, 73.8\%). Getting cured or showing improvement was the most common expectation from treatment (n=58, 47.9\%). Moderate to severe impact of symptoms was reported on work output (n=100, 84\%), emotional life (n=85, 71.4\%) and physical mobility (n=59, 49.1\%). A considerable proportion was either dissatisfied (n=61, 50\%) or frankly unhappy (n=38, 31.4\%) with treatment received. Conclusion: there is a need to re-calibrate the clinical approach to people with mups to enhance treatment satisfaction. Our findings could assist in evolving culturally sensitive conceptualizations of illness and in developing patient-centred models for therapy in mups patients.",,,MEDICALLY UNEXPLAINED SYMPTOMS; EXPLANATORY MODELS; QUALITATIVE; RESEARCH; SOMATOFORM DISORDER; SOMATIZATION; PHYSICAL SYMPTOMS
139,Diabetes Screening Anxiety And Beliefs,SKINNER TC;DAVIES MJ;FAROOQI AM;JARVIS J;TRINGHAM JR;KHUNTI K,DIABETIC MEDICINE,,,,,2005,,,"Aims this study assesses the impact of screening for diabetes on anxiety levels in an ethnically mixed population in the uk, and explores whether beliefs about type 2 diabetes account for these anxiety levels. Methods this cross-sectional study recruited individuals who were identified at high risk of developing diabetes through general practitioners' (gps) lists or through public media recruitment. Participants completed an oral glucose tolerance test (ogtt). Between blood tests, participants completed the spielberger state anxiety scale short form, the emotional stability scale of the big five inventory 44 and three scales from the diabetes illness representations questionnaire, revised for this study. Results of the 1339 who completed the ogtt and questionnaire booklet, 54\% were female, with 21\% from an asian background. Forty-five per cent of participants reported little to moderate amounts of anxiety at screening (mean 35.2; sd = 11.6). There was no significant effect of family history of diabetes, ethnic group or recruitment method on anxiety. The only variable significantly associated (negatively) with anxiety was the personality trait of emotional stability. Of responders, 64\% and 61\% agreed that diabetes was caused by diet or hereditary factors, respectively. Only 155 individuals (12\%) agreed that diabetes was serious, shortens life and causes complications. Conclusions the results of this study replicate that of previous studies, indicating that screening for diabetes does not induce significant anxiety. Bivariate analysis indicated that individuals who perceived diabetes to be serious, life shortening and resulting in complications had higher anxiety scores, the personality trait of emotional stability being the strongest predictor of anxiety.",,,ANXIETY; BELIEFS; IMPACT; SCREENING; TYPE 2 DIABETES
140,Applying A Cognitive-Behavioral Model Of Hiv Risk To Youths In Psychiatric Care.,DONENBERG GR;SCHWARTZ RM;EMERSON E;WILSON HW;BRYANT FB;COLEMAN G,AIDS EDUCATION AND PREVENTION : OFFICIAL PUBLICATION OF THE INTERNATIONAL SOCIETY FOR AIDS EDUCATION,,,,,2005,,,"This study examined the utility of cognitive and behavioral constructs (aids information, motivation, and behavioral skills) in explaining sexual risk taking among 172 12-20-year-old ethnically diverse urban youths in outpatient psychiatric care. Structural equation modeling revealed only moderate support for the model, explaining low to moderate levels of variance in global sexual risk taking. The amount of explained variance improved when age was included as a predictor in the model. Findings shed light on the contribution of aids information, motivation, and behavioral skills to risky sexual behavior among teens receiving outpatient psychiatric care. Results suggest that cognitive and behavioral factors alone may not explain sexual risk taking among teens whose cognitive and emotional deficits (e.g., impaired judgment, poor reality testing, affect dysregulation) interfere with hiv preventive behavior. The most powerful explanatory model will likely include a combination of cognitive, behavioral, developmental, social (e.g., family), and personal (e.g., psychopathology) risk mechanisms.",,,ADOLESCENT PSYCHIATRY*; COGNITIVE BEHAVIORAL THERAPY*; HIV INFECTIONS/*PREVENTION & CONTROL; ADOLESCENT; ADOLESCENT BEHAVIOR; CHILD; HUMANS; MODELS; PSYCHOLOGICAL; MOTIVATION; RISK ASSESSMENT/METHODS; SAFE SEX; UNITED STATES
141,Psychological Outcomes And Health Beliefs In Adolescent And Young Adult Survivors Of Childhood Cancer And Controls.,KAZAK AE;DEROSA BW;SCHWARTZ LA;HOBBIE W;CARLSON C;ITTENBACH RF;MAO JJ;GINSBERG JP,JOURNAL OF CLINICAL ONCOLOGY : OFFICIAL JOURNAL OF THE AMERICAN SOCIETY OF CLINICAL ONCOLOGY,,,,,2010,,,"Purpose the purpose of this study was to compare adolescent and young adult (aya) pediatric cancer survivors and peers without a history of serious illness on psychological distress, health-related quality of life (hrqol), health beliefs; examine age at diagnosis and cancer treatment intensity on these outcomes; and examine relationships between number of health problems and the outcomes. Patients and methods aya cancer survivors (n = 167) and controls (n = 170), recruited during visits to a cancer survivorship clinic and primary care, completed self-report questionnaires of distress, health problems, and health beliefs. For survivors, providers rated treatment intensity and health problems. Results there were no statistically significant differences between survivors and controls in psychological distress or hrqol. Cancer survivors had less positive health beliefs. Survivors diagnosed as adolescents had significantly greater psychological distress and fewer positive health beliefs than those diagnosed earlier. Survivors with the highest level of treatment intensity had greater anxiety and fewer positive health beliefs than those with less intense treatments. Provider report of current health problems related to survivors' beliefs and mental hrqol only, whereas patient report of health problems correlated significantly with most psychosocial outcomes and beliefs. Conclusion aya cancer survivors did not differ from peers in psychological adjustment but did endorse less adaptive health beliefs. Survivors diagnosed during adolescence and who had more intensive cancer treatments evidenced poorer psychosocial outcomes. Beliefs about health may be identified and targeted for intervention to improve quality of life, particularly when patient perceptions of current health problems are considered.",,,ADOLESCENT BEHAVIOR*; HEALTH BEHAVIOR*; HEALTH KNOWLEDGE; ATTITUDES; PRACTICE*; PSYCHOLOGY; ADOLESCENT*; NEOPLASMS/*MORTALITY; NEOPLASMS/*PSYCHOLOGY; SURVIVORS/*PSYCHOLOGY; ADAPTATION; PSYCHOLOGICAL; ADOLESCENT; ADULT; AGE FACTORS; ANXIETY/ETIOLOGY; CASE-CONTROL STUDIES; CULTURE; DEPRESSION/ETIOLOGY; DRUG THERAPY/PSYCHOLOGY; FEMALE; HUMANS; MALE; PERCEPTION; QUALITY OF LIFE; RADIOTHERAPY/PSYCHOLOGY; RISK ASSESSMENT; RISK FACTORS; STRESS; PSYCHOLOGICAL/ETIOLOGY; SURGICAL PROCEDURES; OPERATIVE/PSYCHOLOGY; SURVEYS AND QUESTIONNAIRES; YOUNG ADULT
142,Validation Of The Chinese Version Of The Shame And Stigma Scale In Patients With Head And Neck Cancer,TSENG WT;LEE Y;HUNG CF;LIN PY;CHIEN CY;CHUANG HC;FANG FM;LI TL;CHONG MY;WANG LJ,CANCER MANAGEMENT AND RESEARCH,,,,,2019,,,"Purpose: head and neck cancer (hnc) patients suffer from perceived shame and stigma due to the illness diagnosis, as well as disfigurement following surgery. To measure hnc patients' perception of shame and stigma, the shame and stigma scale (sss) was developed and preliminarily validated. In this study, we aimed to translate, adapt, and validate the sss in chinese. Methods: this study consisted of a cross-sectional design with consecutive sampling and consisted of two stages: (1) translation of the sss into chinese by two bilingual professionals and (2) examination of the chinese version of the sss (c-sss) for internal consistency, inter-rater reliability, test-retest reliability, construct validity, and concurrent validity. In total, 159 inpatients with hnc (mean age: 56.8 years, 95\% males) were enrolled at a medical center in southern taiwan. Results: the principal component analysis of the c-sss revealed a five-factor structure: 4 of the 5 factors were replicated in the original sss, including shame with appearance, regret, social/speech concern, and sense of stigma; only factor 4, self-discrimination, was newly identified in the current study. C-sss showed acceptable internal validity (cronbach's alpha = 0.85), test-retest reliability, inter-rater reliability, and fair concurrent validity with the taiwanese depression questionnaire (tdq), hamilton depression rating scale (ham-d), hamilton anxiety rating scale (ham-a), and explanatory model interview catalogue (emic). Conclusion: the findings of this study indicate that c-sss is a reliable and valid instrument for evaluating hnc patients' perception of shame and stigma in the taiwanese population.",,,HEAD AND NECK CANCER; SHAME; STIGMA; ASSESSMENT; PSYCHOMETRIC
